Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.447,0.044,0.029,0.029,0.000,0.000, ,-0.15,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.513,0.000,0.000,0.029,0.000,0.000, ,-0.31,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.564,0.000,0.000,0.037,0.000,0.000, ,-0.36,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.645,0.000,0.029,0.037,0.000,0.000, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.682,0.051,0.000,0.029,0.000,0.000, ,-0.04,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.711,0.000,0.007,0.037,0.000,0.015, ,-0.09,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.770,0.051,0.000,0.022,0.000,0.000, ,-0.04,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.806,0.000,0.007,0.037,0.007,0.015, ,-0.09,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.850,0.007,0.000,0.037,0.000,0.000, ,0.07,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,55.68,0.00,
2.872,0.000,0.000,0.037,0.000,0.000, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.909,0.000,0.000,0.044,0.007,0.000, ,0.28,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,111.36,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.938,0.044,0.022,0.044,0.007,0.015, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.967,0.007,0.000,0.037,0.000,0.029, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.975,0.029,0.015,0.029,0.000,0.000, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.967,0.000,0.000,0.029,0.007,0.029, ,-0.15,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.019,0.000,0.022,0.051,0.015,0.029, ,0.01,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.041,0.051,0.007,0.029,0.000,0.000, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.019,0.000,0.000,0.044,0.007,0.022, ,-0.36,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.048,0.022,0.000,0.044,0.007,0.029, ,0.17,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.011,0.029,0.007,0.029,0.000,0.000, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.026,0.000,0.000,0.029,0.000,0.000, ,-0.31,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.055,0.000,0.000,0.044,0.007,0.015, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,82.05,0.00,4000.00,0.00,0.00,0.00,
3.033,0.044,0.000,0.037,0.000,0.015, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.063,0.007,0.029,0.022,0.000,0.000, ,0.01,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.048,0.051,0.000,0.037,0.000,0.029, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.070,0.000,0.000,0.022,0.000,0.000, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.055,0.000,0.000,0.044,0.000,0.000, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,56.65,0.00,
3.092,0.051,0.029,0.029,0.000,0.015, ,-0.09,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,111.36,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.077,0.000,0.000,0.037,0.000,0.000, ,0.07,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.085,0.044,0.022,0.029,0.000,0.015, ,-0.09,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.099,0.022,0.015,0.029,0.000,0.007, ,0.07,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.070,0.000,0.000,0.037,0.000,0.000, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.063,0.000,0.000,0.029,0.000,0.000, ,-0.36,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.077,0.000,0.037,0.029,0.000,0.007, ,0.07,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.019,0.000,0.000,0.029,0.000,0.029, ,-0.25,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.033,0.000,0.029,0.051,0.015,0.007, ,0.01,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.026,0.051,0.022,0.037,0.000,0.000, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.982,0.000,0.000,0.051,0.000,0.029, ,-0.41,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.945,0.000,0.000,0.037,0.000,0.029, ,-0.31,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.960,0.022,0.015,0.044,0.007,0.015, ,0.17,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.887,0.000,0.000,0.029,0.000,0.000, ,-0.09,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.880,0.000,0.000,0.037,0.000,0.007, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.843,0.000,0.007,0.022,0.000,0.000, ,-0.31,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.858,0.022,0.015,0.029,0.000,0.007, ,0.17,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.843,0.051,0.029,0.037,0.000,0.000, ,0.01,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.792,0.000,0.007,0.029,0.000,0.015, ,-0.15,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.821,0.051,0.037,0.029,0.000,0.000, ,0.17,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.770,0.000,0.015,0.029,0.000,0.000, ,0.07,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.799,0.051,0.037,0.037,0.000,0.029, ,-0.09,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.821,0.007,0.000,0.044,0.000,0.000, ,0.28,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.880,0.051,0.044,0.037,0.000,0.000, ,-0.04,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,117.22,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.858,0.000,0.000,0.022,0.000,0.000, ,-0.36,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.960,0.000,0.000,0.037,0.000,0.000, ,0.01,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,117.22,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.982,0.051,0.000,0.022,0.000,0.000, ,-0.31,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.085,0.000,0.015,0.022,0.000,0.000, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.129,0.051,0.037,0.037,0.000,0.015, ,-0.31,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.202,0.051,0.000,0.029,0.000,0.000, ,0.01,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.275,0.000,0.000,0.044,0.000,0.000, ,0.01,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
