0.044,0,0.029,0.059,0,0.007, ,0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.022,0,0,0.029,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.015,0,0,0.044,0.007,0.022, ,-0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0,0,0,0.029,0,0, ,-1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0,0.044,0,0.029,0,0, ,-0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0,0.044,0.007,0.022,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.029,0.022,0.015,0.037,0.007,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.022,0,0.029,0.037,0,0, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.007,0,0,0.029,0,0.015, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.015,0,0,0.029,0,0.015, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0,0,0,0.022,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.015,0,0,0.029,0,0.007, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.022,0.022,0.029,0.037,0,0, ,0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.044,0.007,0.037,0.037,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.015,0,0,0.022,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0,0,0,0.029,0,0, ,-0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0,0.051,0.015,0.037,0,0.015, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.015,0.051,0.029,0.029,0,0, ,0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.015,0,0,0.051,0.007,0.029, ,-0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0,0,0,0.022,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
