Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
3.048,0.051,0.044,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
3.055,0.051,0.029,0.029,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
3.063,0.029,0.037,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
3.077,0.051,0.044,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
3.07,0,0.029,0.051,0.015,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
3.055,0,0.015,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
3.077,0,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
3.085,0.022,0.044,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
3.085,0.022,0.037,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
3.063,0.051,0.022,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
3.033,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1738.71,0,0,0,4000,0,0,0
3.048,0,0,0.051,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,1817.83,0,0,0,4000,0,0,0
3.026,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
3.004,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1904.76,0,0,0,4000,0,0,0
2.982,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
2.997,0,0.029,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
2.982,0.022,0.037,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
2.945,0.007,0.029,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
2.916,0.022,0.044,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
2.88,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
2.872,0.051,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
2.85,0.051,0.037,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
2.843,0.007,0.037,0.051,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
2.806,0.007,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
2.814,0.022,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
2.784,0.022,0.044,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
2.77,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
2.77,0.051,0.015,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
2.843,0.051,0.037,0.037,0.007,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,60.56,0
2.872,0.022,0.007,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
2.916,0.022,0.022,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
2.967,0.051,0.037,0.037,0.007,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
3.011,0.051,0.022,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
3.107,0.051,0.044,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
3.136,0,0,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
3.209,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
3.261,0,0,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
3.363,0.051,0.037,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
